nino12,nino3,nino34,nino4
19.61,23.91,25.85,27.69
20.01,23.84,25.54,27.59
20.45,23.81,25.59,27.73
21.34,23.72,25.31,27.57
22.04,23.7,25.15,27.2
23.85,24.65,25.9,27.56
25.39,25.08,25.74,27.73
25.5,25.85,26.08,27.57
24.7,26.37,26.59,27.59
23.65,26.11,26.72,27.84
22.75,26.07,27.12,28.2
21.75,25.24,26.68,28.24
20.66,24.27,26.25,28.12
20.53,24.62,26.41,28.13
20.91,24.67,26.61,28.33
21.93,24.87,26.69,28.51
22.97,25.15,26.74,28.26
24.8,25.68,26.73,28.02
26.39,26.62,27.42,28.45
27.08,27.2,27.66,28.6
26.54,27.59,28.07,28.77
25.35,27.64,28.34,28.95
24.54,27.05,28.09,28.86
22.39,26.19,27.78,28.9
21.49,25.74,27.8,28.96
22.63,25.97,27.33,28.41
23.29,26.43,28.16,29.44
24.16,27.17,28.86,29.83
24.41,26.87,28.26,29.24
26.38,27.6,28.56,29.1
27.49,27.69,28.24,28.86
27.6,27.84,28.09,28.71
26.32,27.84,28.23,28.64
24.64,27.16,28.19,28.94
22.82,26.46,27.78,28.41
21.39,24.86,26.47,28.16
20.11,24.03,25.88,27.99
19.72,24.01,25.83,27.85
19.97,23.69,25.42,27.45
21.17,23.97,25.57,27.54
22.8,24.1,25.34,27.29
24.48,23.58,24.09,26.32
25.86,24.66,24.65,26.5
26.17,26.09,26.11,27.4
24.86,26.34,26.63,27.71
23.7,26,26.87,28.06
22.06,25.53,26.82,27.76
20.83,24.71,26.3,27.7
20.11,23.93,25.5,27.14
19.9,23.93,25.46,27.16
20.3,23.85,25.47,27.41
20.91,23.97,25.58,27.5
22.12,24.54,25.9,27.73
24.4,25.16,26.13,27.79
26.28,26.04,26.51,27.99
27.02,27.05,27.19,28.19
26.32,27.65,27.92,28.45
25.49,27.33,27.99,28.75
24.02,26.91,27.97,28.64
22.67,25.89,27.34,28.4
21.24,25.1,26.93,28.39
20.41,24.72,26.67,28.34
20.74,24.72,26.7,28.51
21.7,24.91,26.71,28.58
22.79,25.05,26.6,28.37
24.51,25.12,26.08,27.75
25.79,25.9,26.42,27.8
25.92,26.45,26.68,27.73
24.82,26.74,27.12,27.76
23.54,26.18,27.14,28.31
