nino12,nino3,nino34,nino4
20,23.42,25.41,27.9
20.88,23.31,25.15,27.83
22.38,23.96,25.35,27.54
24.95,24.69,25.38,27.02
26.25,25.32,25.58,27.22
26.3,26.03,26.16,27.62
25.87,27.01,27.17,28.05
24.88,26.88,27.51,28.64
23.42,26.48,27.58,28.61
22.46,25.59,27.13,28.65
21.38,25.03,26.93,28.73
20.46,24.53,26.52,28.44
21.47,24.71,26.29,28.19
21.41,24.52,26.16,28.07
22.7,24.67,26.17,28.1
24.04,25.05,26.15,27.98
26.22,26.47,26.92,27.92
26.95,26.88,27.05,28.2
25.9,27.63,27.88,28.48
24.44,27.04,28,28.9
23.48,26.54,27.72,28.75
21.97,25.69,27.3,28.8
21.25,24.99,26.88,28.73
20.95,24.73,26.44,28.6
20.87,24.58,26.51,28.58
21.37,24.34,26.31,28.62
22.07,24.57,26.33,28.4
23.93,25.1,26.22,27.97
26.62,26.03,26.29,27.72
26.34,26.26,26.47,27.53
25.64,26.88,27.01,27.7
25,27,27.41,28.11
23.18,26.18,27.09,28.02
22.06,25.2,26.62,28.21
21.46,24.45,26.03,28.11
21.72,24.42,25.93,28.17
22.12,24.32,25.87,28.23
22.79,24.73,26.23,28.36
23.25,24.61,26.05,28.09
24.24,24.88,26.14,27.92
25.13,25.7,26.53,27.95
25.79,26.5,26.9,28.05
25.31,26.94,27.29,28.33
24.29,26.45,27.47,28.79
22.04,26.01,27.83,29.14
21.42,25.27,27.26,28.88
20.24,24.04,26.36,28.6
20.77,24.61,26.56,28.86
20.8,24.58,26.73,28.76
21.33,24.6,26.47,28.64
22.62,24.95,26.61,28.9
24.7,25.81,26.97,28.48
25.75,26.19,26.63,27.96
26.63,27.26,27.54,28.53
25.52,27.34,27.7,28.43
23.91,26.63,27.32,28.67
22.22,26.35,27.75,29.2
20.95,25.2,26.83,28.41
20.42,24.48,26.51,28.49
20.59,24.02,25.7,27.97
20.99,24.22,25.92,27.89
22,24.46,25.93,27.76
22.82,25.28,26.77,28.41
24.46,25.46,26.63,28.26
26.74,26.67,27.13,27.91
27.3,27.6,27.89,28.58
25.76,27.52,28.02,28.6
24.63,27.05,28.17,29.27
22.58,26.17,27.75,29.2
21.13,25.23,27.16,28.59
20.73,24.97,26.85,28.43
20.18,24.55,26.73,28.46
20.84,24.16,26.06,28.38
21.84,24.65,26.35,28.33
22.13,25.35,26.96,28.28
24.07,24.84,26.12,28.09
26.45,26.35,27.02,28.49
27.52,26.59,26.7,27.93
26.09,27.72,27.96,28.45
24.52,26.95,27.79,28.62
23.34,25.61,26.97,28.27
20.94,24.89,26.84,28.39
20.15,24.42,26.56,28.48
19.73,23.97,26.1,27.81
19.5,23.81,26.01,27.95
20.55,23.52,25.33,27.35
22.24,23.81,25.39,27.56
23.52,24.25,25.53,27.58
25.05,24.75,25.26,27
26.05,26.15,26.18,27.37
24.44,26.49,26.86,27.74
23.85,25.74,26.56,28.02
22.08,25.44,26.82,28.19
20.74,24.55,26.14,27.8
20.77,24.49,26.24,27.69
19.77,23.78,25.65,27.73
20.18,24.05,25.9,27.62
20.25,23.53,25.27,27.2
22.09,24.17,25.55,27.66
24.86,24.86,25.45,27.01
25.76,25.91,26.02,27.14
26.51,26.48,26.48,27.52
25.96,27.48,27.6,27.97
25.21,26.95,27.77,28.61
24.49,26.72,27.6,28.42
24.04,26.72,27.88,28.75
22.53,26.26,27.77,28.82
21.93,25.76,27.42,28.78
22.33,25.95,27.52,28.82
23.16,26,27.44,28.88
23.51,25.95,27.3,28.79
24.92,26.01,26.97,28.5
26.3,26.54,27,28.22
27.06,27.22,27.3,28.19
25.15,27.62,28.18,28.75
24.41,26.54,27.48,28.85
22.77,25.72,27.03,28.52
20.9,24.82,26.63,28.36
20.6,24.45,26.45,28.33
20.17,24.27,26.4,28.69
20.83,24.66,26.7,28.55
21.22,24.43,26.33,28.29
22.66,24.45,26.04,28.17
24.5,25.65,26.94,28.52
26.71,26.59,27,28.09
27.53,27.26,27.48,28.53
26.79,28.27,28.54,28.89
25.75,27.43,28.21,29.01
23.88,26.95,28.1,28.95
22.66,25.81,27.42,28.9
22.02,25.04,26.91,28.67
21.51,25.59,27.42,28.97
21.31,24.94,26.84,28.67
22.17,25.1,26.96,28.79
22.9,25.23,26.74,28.34
23.62,25.43,26.97,28.44
25.85,26.22,26.98,28.19
26.46,26.79,27.27,28.3
23.49,26.31,27.45,28.54
22.54,25.81,27.34,28.69
21.62,25.12,26.88,28.34
20.27,24.23,26.2,28.09
19.94,23.67,25.8,27.95
19.18,23.55,25.72,27.87
19.52,23.65,25.82,27.92
20.82,23.59,25.49,27.7
21.59,23.96,25.79,27.89
24.43,24.83,25.92,27.59
25.14,25.67,25.98,27.21
26.13,26.22,26.46,27.62
25.2,26.49,26.82,27.57
23.26,25.55,26.64,27.94
21.96,25.04,26.49,28
21.17,24.33,25.91,27.7
20.1,24.21,25.96,27.86
19.53,23.46,25.42,27.76
19.33,23.23,25.14,27.2
20.32,22.89,24.75,27.25
21.71,23.5,25.07,27.19
23.68,24.29,25.35,27.26
25.63,25.42,25.79,27.13
26.86,26.43,26.32,27.43
25.43,26.73,26.99,27.91
23.89,26.4,27.28,28.2
22.57,25.83,26.85,27.87
21.97,24.82,26.28,27.92
20.57,24.33,26.06,27.93
20.02,24.18,25.84,27.66
20.38,24.32,26.04,27.81
21,23.93,25.64,27.87
21.97,24.34,26.01,27.98
23.41,24.71,26.02,28.05
26.48,26.03,26.52,28.12
28.07,27.34,27.34,28.26
27.04,27.82,28.19,28.78
26.62,27.62,28.31,29.27
25.24,27.35,28.22,28.77
23.98,26.77,27.91,28.86
22.4,26.14,27.66,28.8
22.32,25.58,27.28,28.96
22.49,25.76,27.48,29.09
23.18,25.99,27.74,29.21
24.11,26.3,27.76,29.07
25.45,26.77,28.12,29.33
27.31,27.26,28.16,29.27
27.59,27.67,28.25,29.26
27.13,27.54,28.08,28.95
25.53,26.91,28.19,29.38
24.05,26.49,27.99,29.09
22.64,25.58,27.26,28.82
20.86,25.08,27.12,28.96
20.73,24.69,26.44,28.49
21.34,24.66,26.7,28.73
22.02,24.83,26.71,28.77
22.84,25.06,26.89,28.86
24.6,25.56,27.01,28.56
26.39,26.32,27.26,28.49
27.66,27.07,27.52,28.5
26.38,27.6,28.04,28.69
24.88,26.92,27.85,29.01
23.22,26.02,27.36,28.51
21.61,25.21,26.95,28.58
20.46,24.5,26.47,28.61
20.69,24.47,26.22,28.56
21,25.03,26.84,28.52
21.96,24.73,26.48,28.28
22.79,25,26.54,28.17
24.37,25.51,26.6,27.85
25.92,25.98,26.52,27.66
26.55,26.96,27.17,27.93
24.84,27.17,27.78,28.42
24.13,26.89,27.92,28.66
22.3,26.12,27.48,28.39
21.26,25.29,26.98,28.41
20.66,25.03,26.87,28.26
20.51,25.02,26.79,28.36
20.33,24.58,26.67,28.42
20.99,24.23,26.27,28.29
22.51,24.83,26.6,28.54
24.85,25.24,26.43,28
26.96,26.45,26.8,27.97
26.69,26.98,27.16,28.01
25.36,27.78,27.9,28.14
24.2,27.12,27.86,28.58
22.73,26.54,27.79,28.58
20.98,24.91,26.9,28.39
20.43,24.41,26.62,28.29
19.83,23.96,26.23,28.22
20.61,24,26.02,28.06
21.54,24.65,26.46,28.15
22.63,24.82,26.3,27.86
24.38,25.41,26.33,27.5
25.88,26.22,26.6,27.67
25.33,26.52,26.85,27.81
24,26.71,27.45,28.24
23.92,26.34,27.45,28.4
22.36,25.9,27.47,28.58
21.08,25.2,26.92,28.4
20.6,24.9,26.74,28.33
20.26,24.35,26.19,28.17
20.18,24.43,26.41,28.27
21.03,24.29,26.22,28.31
21.77,24.36,26.09,28.02
24.41,25.21,26.26,27.81
25.82,25.98,26.5,27.85
26.71,27.11,27.2,28.05
25.12,27.46,27.71,28.37
24.56,27.13,27.86,28.66
23.02,26.84,27.81,28.43
22.08,26.42,27.95,28.81
21.46,25.9,27.78,28.94
21.2,25.53,27.4,28.83
21.38,25.71,27.57,29.07
21.88,25.64,27.4,29.04
22.88,26.11,27.63,28.84
24.09,26.02,27.33,28.55
25.3,26.37,27.31,28.43
25.73,26.75,27.1,28.08
24.8,26.45,27.24,28.32
22.41,25.68,27.13,28.43
21.76,25.22,26.81,28.16
20.72,24.94,26.58,28.07
19.83,23.97,26.11,27.78
20.2,24.13,25.82,27.46
19.82,24.01,25.73,27.48
21.14,24.05,25.55,27.46
22.04,24.01,25.52,27.48
24.29,24.88,26.01,27.74
26.39,25.99,26.41,27.64
27.34,26.94,26.92,27.74
27.35,27.58,27.68,28.23
26.62,27.6,28.05,28.61
24.97,27.16,28.14,28.72
23.57,26.53,28.03,28.85
22.46,26.32,28.12,28.95
21.61,26.15,28.01,28.98
21.86,26.3,28.34,29.27
22.73,26.41,28.2,29.32
23.93,26.45,28.04,29.13
25.49,26.7,27.71,28.85
26.29,26.86,27.59,28.67
25.67,27.16,28.08,29.1
24.58,27.45,28.31,28.86
23.7,26.46,27.81,29.06
22.23,26.13,27.82,29.03
21.49,25.41,27.45,29.17
20.57,24.5,26.77,28.91
20.1,24.46,26.7,28.82
20.63,24.62,26.69,28.69
21.31,24.27,26.28,28.5
22.17,24.46,26.32,28.37
23.9,25.09,26.02,27.52
25.92,25.93,26.2,27.42
26.07,26.64,26.79,27.88
25.39,26.78,27.24,28.47
23.77,26.65,27.63,28.96
22.55,26.33,27.56,28.77
21.14,25.17,27.12,28.69
19.78,24.29,26.57,28.42
19.36,23.95,26.17,28.25
19.54,23.96,26.35,28.48
20.48,24.06,26.32,28.52
21.46,24.29,26.24,28.31
23.56,24.42,25.98,28.01
25.35,25.03,26.02,28.06
25.55,25.92,26.5,27.87
24.34,26.78,27.3,28.09
23.02,26.21,27.43,28.45
21.99,26.36,27.87,28.7
21.61,25.85,27.54,28.67
21.16,25.38,27.2,28.65
21.35,25.19,26.8,28.43
21.15,25.19,27.05,28.86
21.88,25.34,27.42,29.14
23.3,25.7,27.35,28.93
24.64,25.95,27.48,29.19
26.11,26.67,27.79,29.33
27.52,27.53,27.86,28.96
26.88,27.84,28.1,28.98
26.37,27.72,28.25,29.13
24.7,27.12,27.95,28.79
22.46,25.88,27.32,28.78
21.03,25.6,27.39,29.04
20.95,25.58,27.22,29.07
22.05,25.75,27.39,29.05
22.66,25.83,27.4,29.1
23.74,26.01,27.27,28.97
25.17,26.24,27.13,28.64
25.88,26.47,27.12,28.5
25.85,27.01,27.52,28.55
24.95,27.24,27.95,28.65
23.58,26.44,27.87,29.04
21.92,25.59,27.38,28.74
20.02,23.91,26.25,28.54
19.62,23.51,25.92,28.18
19.65,23.83,25.97,28.11
20.42,24.05,26.08,27.99
20.89,23.82,25.81,28.07
21.98,23.89,25.47,27.48
23.63,24.27,25.11,26.98
24.88,24.93,25.48,27.1
25.76,25.94,25.96,27.19
25.43,26.7,26.8,27.76
23.51,26.19,27.04,28.15
22.13,25.64,26.91,28.07
21.32,24.97,26.59,27.94
19.94,24.19,26.22,27.81
19.85,24.14,26,27.62
20.26,23.85,25.95,28.07
21.09,23.88,25.8,28.04
22.27,24,25.69,27.98
24.57,25.01,26,27.86
26.73,26.03,26.55,28.07
27.51,26.91,27,28.28
26.8,27.8,27.98,28.83
25.78,27.55,28.19,29.28
25.23,27.38,28.35,29.16
24.5,26.91,28.06,29.07
23.79,27.02,28.18,28.87
22.49,26.54,27.94,28.91
22.79,26.85,28.5,29.39
23.57,27.12,28.53,29.23
24.93,27.59,28.78,29.34
26.05,27.2,28.18,29.12
26.38,27.16,27.84,28.7
26.36,27.42,27.83,28.72
24.84,27.15,27.7,28.46
23.42,26.17,27.3,28.73
22.08,25.49,26.83,28.26
20.77,24.33,26.08,28.03
19.62,23.78,25.66,27.72
19.4,23.72,25.35,27.48
20.08,23.58,25.15,27.37
20.96,23.39,24.58,27.04
21.97,23.54,24.41,26.58
23.9,24,24.56,26.54
25.52,25.16,25.26,26.95
26.57,26.17,25.82,27.14
25.68,26.91,26.77,27.56
24.8,26.69,27.07,28.05
23.22,26.23,26.99,28.01
22,25.36,26.58,27.87
21,25.04,26.56,27.94
20.1,24.67,26.4,27.8
19.89,24.3,25.98,27.72
21.14,24.22,25.7,27.6
21.89,24.4,25.73,27.55
23.84,25.15,26.21,27.56
25.58,25.85,26.43,27.75
26.95,26.67,26.66,27.69
25.94,27.21,27.18,27.78
23.99,26.14,26.87,27.93
22.4,25.35,26.43,27.79
21.53,24.71,25.99,27.37
20.27,24.37,25.72,27.06
19.5,23.84,25.31,26.76
19.83,23.71,25.26,26.74
20.29,23.75,25.19,26.75
21.53,23.61,24.95,26.57
23.84,23.93,24.78,26.85
25.97,25.33,25.71,27.13
26.9,26.54,26.58,27.7
26.25,27.24,27.35,27.99
25.27,27,27.37,28.29
24.55,27.06,27.69,28.36
23.86,26.44,27.38,28.29
22.73,25.97,27.18,28.22
21.77,25.84,27.32,28.63
21.83,26.02,27.59,28.83
22.33,26.02,27.54,28.93
23.27,25.91,27.23,28.5
25.01,26.54,27.42,28.3
26.18,26.95,27.31,28.18
26.35,27.51,27.65,28.32
24.98,26.97,27.52,28.37
24,26.84,27.84,28.7
23.07,26.61,28.05,28.93
21.88,25.74,27.67,29.14
20.39,24.79,27.13,29.07
20.04,24.9,27.19,29.17
20.87,25.48,27.62,29.16
21.59,25.55,27.69,29.24
22.46,25.67,27.67,29.18
24.64,26.02,27.3,28.74
25.97,26.57,27.27,28.47
25.96,26.96,27.32,28.31
25.29,26.75,27.4,28.42
23.92,26.26,27.37,28.75
22.13,25.75,27.23,28.48
21.45,24.86,26.75,28.53
20.28,24.28,26.26,28.31
20.24,24.43,26.15,28.24
20.63,24.78,26.39,28.37
21.92,24.95,26.5,28.46
23.25,25.4,26.66,28.35
24.95,25.5,26.63,28.45
25.74,26.15,26.86,28.4
26.48,27.02,27.38,28.51
26.17,27.71,27.94,28.57
24.73,27.15,27.77,28.68
23.74,26.75,27.72,28.67
22.29,25.55,27.02,28.71
21.41,25.47,27.09,28.54
21.56,25.7,27.23,28.53
21.74,25.5,27.05,28.7
22,25.49,27,28.69
22.67,25.72,27.28,28.95
24.62,26.01,27.13,28.7
26.07,26.37,27.09,28.7
26.75,26.98,27.35,28.69
25.66,27.51,27.97,28.8
24.71,27.14,28,29.16
23.19,26.8,28.05,29.05
21.41,25.49,27.25,28.95
20.47,24.82,26.65,28.59
20.43,24.86,26.63,28.59
20.55,24.66,26.63,28.78
21.21,24.98,26.75,28.89
21.89,25.35,26.94,28.58
23.43,24.84,26.12,28.15
25.49,25.69,26.31,28.07
26.54,26.87,27.24,28.47
25.35,27.14,27.6,28.42
24.24,26.85,27.76,28.76
22.92,26.42,27.54,28.53
21.29,25.24,26.79,28.35
20.37,24.68,26.7,28.36
20.3,24.93,26.68,28.52
20.54,25.04,26.7,28.55
21.34,24.88,26.39,28.51
22.85,25.43,26.65,28.54
24.6,25.78,26.54,28.13
25.97,26.36,26.64,28.04
26.01,26.99,27.24,28.47
25.15,27.68,28.01,28.87
24.54,27.7,28.51,29.33
23.26,27.34,28.61,29.43
22.44,26.21,27.86,29
22,26.12,27.8,28.93
22.55,26.7,28.14,29.06
23.35,27.27,28.73,29.53
24.96,27.66,28.72,29.24
26.22,28.22,28.92,29.11
27.45,28.48,29.01,29.02
28.35,28.79,28.98,28.82
29.07,29.12,28.95,28.8
29.02,29.21,28.89,28.76
28.56,29.02,28.99,29.1
27.55,28.19,28.31,28.85
25.78,26.61,27.11,28.44
24.03,25.83,26.75,28.31
22.61,25.08,26.26,28.05
22.08,24.44,25.7,27.81
22.45,24.18,25.52,27.73
23.24,24.52,25.64,27.77
24.43,24.97,25.78,27.57
25.55,25.91,26.23,27.45
26.32,26.86,26.78,27.53
25.41,27.04,27.17,27.65
23.35,26.3,27.22,27.96
22.07,25.35,26.79,28.03
21.3,25,26.82,28.27
20.4,24.5,26.47,28.11
20.18,24.51,26.4,28.34
20.45,24.07,25.9,27.98
21.71,23.99,25.48,27.72
22.51,23.79,25.05,27.34
23.95,24.58,25.69,27.74
25.2,25.33,25.85,27.49
26.14,26.16,26.3,27.51
24.28,26.5,26.79,27.66
23.05,25.96,26.97,28.06
21.74,25.6,26.93,28.07
20.8,24.69,26.62,28.34
19.9,24.21,26.38,28.37
19.71,24.16,26.18,28.38
20.25,24.09,26.09,28.39
20.96,24.3,26.22,28.45
22.27,24.47,26.19,28.36
24.13,24.76,25.79,27.89
25.97,25.81,26.12,27.87
25.89,26.64,26.75,27.96
24.8,27.03,27.36,28.23
23.64,26.43,27.39,28.59
22.08,26.18,27.61,28.86
21.71,25.62,27.38,28.92
21.09,24.98,27.11,29
20.41,25.22,27.34,29.18
21.2,25.7,27.63,29.23
22.16,25.86,27.7,29.28
23.55,25.89,27.56,29.02
25.49,26.62,27.77,28.87
27.34,27.32,27.94,28.9
27.88,28.16,28.5,29.15
27.17,28.43,28.66,29.02
25.81,28.13,28.77,29.37
24.05,27.57,28.92,29.57
23.04,26.92,28.56,29.45
21.82,26.43,28.36,29.39
21.85,26.53,28.28,29.51
22.57,26.16,28.1,29.61
22.79,26.13,27.94,29.63
23.91,26.21,27.64,29.39
24.81,26.1,27.27,28.94
26.05,26.43,27.11,28.54
26.21,27.21,27.54,28.6
24.76,26.73,27.28,28.24
23.37,25.76,26.82,28.23
21.03,24.6,26.23,28.04
20.3,23.81,25.69,27.86
19.32,23.44,25.43,27.78
19.11,23.5,25.42,27.66
19.8,23.06,24.65,27.09
21.24,23.13,24.48,26.97
22.05,23.39,24.6,26.86
24.44,24.19,24.63,26.65
26.37,25.56,25.39,26.73
26.28,26.06,25.93,27.04
25.17,26.6,26.66,27.53
23.3,26.28,27.06,28.07
22.26,26.03,27.04,27.98
21.4,25.31,26.76,28.19
20.46,24.49,26.29,28.06
20.07,24.58,26.37,28.3
20.77,24.56,26.33,28.29
21.5,24.64,26.36,28.35
22.59,24.78,26.46,28.55
24.39,25.31,26.6,28.49
26.05,26.49,27.12,28.52
26.32,26.99,27.46,28.73
25.33,27.62,28.03,28.79
24.23,27.3,28.19,29.05
22.94,26.46,27.69,28.91
20.97,25.5,27.37,29.05
20.31,25,27.05,29.03
20.26,25,26.87,28.95
20.33,24.86,26.86,29.1
21.33,24.85,26.73,28.99
22.58,25.11,26.9,29.09
24.63,25.76,27.09,28.93
26.23,26.38,27.08,28.69
26.73,27.11,27.36,28.72
24.98,27.38,27.98,29.05
24.45,27.44,28.3,29.37
23.23,27.13,28.34,29.4
22.45,26.33,27.84,29.27
20.92,25.29,27.3,29.18
20.7,25,26.98,28.99
21.49,25.57,27.64,29.39
22.52,26.01,27.79,29.32
23.47,26.46,28.2,29.27
25.08,26.97,28.19,28.92
26.76,27.56,28.39,28.97
27.64,28.3,28.76,29.15
27.38,28.8,29.18,29.27
26.29,28.44,29.13,29.53
23.7,26.9,28.22,29.2
21.79,25.57,27.5,29.16
20.67,24.66,26.73,28.83
20.04,24.54,26.61,28.79
20.8,24.58,26.39,28.7
21.64,24.69,26.51,28.73
22.7,24.89,26.63,28.74
24.75,25.52,26.86,28.74
26.53,26.59,27.18,28.56
27.26,27.47,27.73,28.66
26.49,28.4,28.68,29.02
25.59,28.12,28.79,29.33
23.86,27.08,28.33,29.23
22.16,25.72,27.55,29.16
21.12,25.01,27.04,28.99
20.66,24.98,27.01,29.07
21.39,25.13,27.09,29
21.66,25.08,26.94,29.05
22.73,25.14,26.77,28.82
24.65,25.54,26.61,28.46
25.99,26.06,26.6,28.13
25.6,26.75,27.19,28.39
24.44,27.05,27.8,28.75
23.55,26.85,28,29.08
22.4,26.43,27.96,29.18
21.03,25.21,27.38,29.37
20.02,24.81,27.4,29.47
20.49,24.91,27.15,29.26
21.71,25.55,27.63,29.46
22.47,25.83,27.79,29.56
23.7,26.09,27.8,29.36
25.63,26.42,27.68,29.18
26.56,26.92,27.64,28.99
26.16,27.17,27.75,29.11
24.67,27.25,28.04,29.05
23.45,26.54,27.89,29.3
22.46,26.22,27.77,29.24
21.59,25.49,27.26,29.02
20.39,24.42,26.5,28.72
20.26,24.2,26.18,28.6
20.65,24.2,26.01,28.39
21.62,24.23,25.87,28.32
22.33,24.41,25.86,28.21
24.11,25,25.93,27.91
26,25.82,26.1,27.79
26.66,26.82,26.78,28.09
24.39,26.93,27.43,28.32
23.64,26.53,27.46,28.59
21.92,26.11,27.57,28.78
20.87,25.33,27.08,28.59
20.46,24.72,26.58,28.39
20.01,24.56,26.41,28.43
20.26,24.53,26.46,28.49
21.09,24.49,26.35,28.54
21.99,24.35,26.16,28.48
24.16,24.88,26.15,28.36
26.29,25.96,26.53,28.29
27.55,27.17,27.19,28.49
26.64,27.76,28.11,29.04
26.62,28.13,28.74,29.48
26.16,28.13,28.84,29.34
25.47,27.85,28.83,29.49
24.89,27.75,28.81,29.44
24.59,27.74,28.85,29.55
25.06,28.04,29.02,29.51
26,28.19,29.08,29.56
27.28,28.39,28.89,29.23
28.27,28.61,29,29.17
29.2,28.85,28.84,28.94
29.61,29.14,28.75,28.8
28.66,28.98,28.67,28.73
27.47,28.31,28.55,29
24.99,26.54,27.3,28.55
23.15,25.41,26.49,28.33
21.85,24.73,26.04,28.04
20.85,24.44,25.93,27.99
21.18,24.19,25.54,27.66
21.67,24.27,25.43,27.52
22.88,24.15,25.08,27.21
24.49,24.61,25.05,26.77
26.37,25.58,25.35,26.66
27.02,26.74,26.34,27.27
24.88,26.85,26.96,27.62
24.03,26.48,26.99,27.97
22.44,25.76,26.74,28.04
21.2,24.94,26.39,27.96
20.4,24.26,25.89,27.76
19.57,23.96,25.91,27.93
20.3,23.77,25.7,27.84
20.78,23.55,25.24,27.57
21.95,23.68,25.04,27.24
23.83,23.87,24.79,26.91
25.85,25.2,25.23,26.71
26.17,26.28,26,26.95
26.12,27.18,26.97,27.4
24.16,26.57,27.07,27.89
22.33,25.7,26.93,28.14
21.27,25,26.65,28.2
20.33,24.63,26.52,28.24
20.21,24.59,26.36,28.29
20.57,24.45,26.18,28.19
21.19,24.26,25.91,28.1
22.47,24.42,25.67,27.65
23.96,24.87,25.7,27.44
25.99,25.94,26.13,27.33
27.08,27.01,26.78,27.68
26.08,27.44,27.47,28.17
23.82,26.76,27.57,28.58
22.12,26.21,27.58,28.77
21.14,25.42,27.24,28.94
20.15,24.72,26.8,28.89
19.34,24.22,26.47,28.97
19.93,24.39,26.47,28.84
20.94,24.39,26.37,28.78
21.9,24.51,26.13,28.45
23.78,25.1,26.44,28.54
26.02,26.15,26.76,28.35
27.35,27.31,27.36,28.55
25.99,27.54,27.91,28.87
24.64,27.22,28.07,29.18
22.58,26.87,28.37,29.41
21.4,25.86,27.8,29.36
20.66,25.34,27.57,29.3
20.58,25.4,27.57,29.3
21.64,25.86,27.89,29.48
22.67,26.21,28.06,29.57
23.71,26.39,28,29.29
24.82,26.3,27.56,28.98
26.11,26.63,27.4,28.78
26.24,27.21,27.74,28.94
24.76,27.05,27.74,28.92
23.11,26.17,27.34,28.9
22.07,25.95,27.5,29.01
21.27,25.6,27.37,29.02
21,25.07,26.92,28.89
20.11,24.92,26.9,28.95
20.99,25.31,27.19,29.17
22.17,25.33,27.05,29.17
23.33,25.67,26.91,28.85
24.69,26.01,26.84,28.67
26.12,26.49,26.93,28.42
26.39,27.05,27.16,28.36
25.21,27.43,27.83,28.73
23.5,26.75,27.96,29.1
22.3,26.26,27.82,29.12
21.14,25.56,27.64,29.26
20.47,25.25,27.54,29.23
20.45,25.23,27.42,29.4
21.18,25.4,27.46,29.42
22.27,25.46,27.27,29.35
23.29,25.69,27.3,29.2
24.75,25.86,27.14,29.08
25.71,26.24,27.02,28.7
25.58,26.95,27.54,28.79
25.3,27.62,28.05,28.87
24.68,27.31,28.16,29.09
22.84,26.63,27.91,29.05
21.78,25.71,27.22,28.88
20.62,25.09,26.83,28.77
19.93,24.65,26.67,28.79
20.01,24.5,26.59,28.77
20.48,24.05,26.21,28.58
21.82,23.88,25.83,28.2
24.03,24.68,25.6,27.72
26.65,25.95,26.05,27.43
26.46,26.53,26.53,27.81
24.77,27.22,27.47,28.28
24.07,26.93,27.76,28.81
22.79,26.43,27.78,28.98
22.03,25.58,27.25,28.99
21.43,25.36,27.25,29.12
21.32,25.61,27.38,29.26
22.27,25.78,27.49,29.34
22.8,25.9,27.64,29.38
23.64,26.21,27.69,29.26
25.29,26.22,27.17,28.8
26.38,26.35,26.88,28.44
26.08,26.75,27.11,28.44
24.61,27.03,27.61,28.6
22.99,26.3,27.47,28.76
21.59,25.94,27.52,28.85
20.9,24.95,26.86,28.67
19.56,24.04,26.31,28.51
19.2,23.6,25.71,28.13
19.41,23.44,25.33,27.9
19.93,23.26,25.07,27.51
21.39,23.48,24.98,27.36
23.92,23.98,24.79,26.88
26.16,25.1,25.07,26.64
27.06,26.37,26.09,27.06
26.16,27.01,26.88,27.55
24.14,26.87,27.22,27.96
23.25,26.4,27.24,28.15
22.31,25.91,27.19,28.32
21.59,25.54,26.83,28.31
20.86,24.93,26.47,28.23
20.89,24.91,26.43,28.27
21.68,24.83,26.29,28.1
22.68,24.51,25.69,27.73
24.55,24.96,25.58,27.55
26.01,25.86,26.05,27.57
25.88,26.35,26.54,27.93
25.66,27.4,27.52,28.41
24.63,27.4,28.04,28.97
23.53,27.16,28.17,29.16
22.55,26.47,27.91,29.24
21.58,25.72,27.49,29.29
20.76,25.66,27.43,29.27
21.29,25.71,27.69,29.6
22.03,26.16,28.15,29.83
23.51,26.62,28.4,29.76
25.08,26.68,28,29.47
26.36,27.14,27.94,29.05
26.69,27.72,28.33,29.19
26.17,28.01,28.33,29.21
24.85,27.06,27.72,28.91
23.13,25.92,27.07,28.56
20.79,24.75,26.34,28.17
19.69,23.93,25.55,27.55
19.25,23.56,25.19,27.41
19.53,23.22,25.08,27.27
20.5,23.41,25.08,27.21
21.99,23.6,24.95,27.07
24.11,24.17,24.88,26.88
26.39,25.51,25.5,27.08
26.3,26.33,26.27,27.55
25.61,27.12,27.03,27.81
24.71,26.84,27.34,28.28
23.35,26.54,27.43,28.39
22.12,25.64,27,28.31
20.72,24.6,26.22,28.1
19.54,24.22,25.99,28.01
20.35,23.95,25.81,27.92
21.08,23.93,25.56,27.88
22.33,24.35,25.54,27.41
24.32,24.85,25.65,27.25
26.72,26.21,26.15,27.37
26.71,26.96,26.78,27.73
26.14,27.47,27.48,28.19
24.89,27.07,27.69,28.53
23.98,26.95,27.82,28.66
22.67,26.42,27.66,28.72
21.19,25.75,27.54,28.96
20.58,25.29,27.19,28.97
20.67,24.97,26.96,29
21.42,25.14,26.98,28.98
22.41,24.87,26.45,28.55
24.02,25,26.16,28.2
26,25.9,26.36,27.94
26.35,27.14,27.12,28.11
24.34,27.37,27.69,28.44
23.02,26.39,27.59,28.75
21.54,25.74,27.36,28.69
20.48,25.02,26.94,28.66
20.16,24.52,26.59,28.7
19.77,24.68,26.66,28.68
20.9,24.83,26.49,28.63
21.38,24.87,26.64,28.78
22.77,25.13,26.5,28.36
25.09,25.31,26.16,28.03
25.65,25.7,26.31,28.18
26.22,26.95,27.19,28.56
25.41,27.7,28.05,28.83
25.2,27.61,28.32,29.22
24.16,27.36,28.16,29.2
22.89,26.15,27.36,29.01
21.59,25.37,27.02,29
20.69,25.26,27.12,29.15
21.41,25.56,27.22,29.2
22.46,25.89,27.54,29.43
23.16,25.94,27.36,29.15
24.56,25.97,27.17,28.97
25.7,26.51,27.34,28.93
26.72,27.18,27.73,29.04
26.3,28.23,28.67,29.52
26.05,28.06,28.9,29.78
25.18,27.99,28.96,29.86
24.16,27.46,28.78,29.82
23,27.08,28.75,29.73
23.02,27.25,28.76,29.8
23.44,27.39,28.94,29.86
24.1,27.6,29.23,30.22
25.11,27.8,29.14,29.95
26.54,28.23,29.14,29.59
